lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,3149,,,,,,,,,,,,,,
,3149,0.01824183575809002,7.570058369310573e-05,0.01824183575809002,3149.0,8,,,,,,,,,
,3149,,,,,8,0.0877760574221611,0.0003432163211982697,0.0877760574221611,0.26020362973213196,0.002140164840966463,0.26020362973213196,,,
,3149,,,,,8,,,,,,,0.16828835010528564,0.0037762613501399755,0.16828835010528564
0.01,3199,,,,,,,,,,,,,,
,3199,0.3554905652999878,0.0019788937643170357,0.3554905652999878,3199.0,9,,,,,,,,,
0.01,3249,,,,,,,,,,,,,,
,3249,0.011667245998978615,5.3047686378704384e-05,0.011667245998978615,3249.0,9,,,,,,,,,
0.01,3299,,,,,,,,,,,,,,
,3299,0.3566868007183075,0.002587301889434457,0.3566868007183075,3299.0,9,,,,,,,,,
0.01,3349,,,,,,,,,,,,,,
,3349,0.42758244276046753,0.002379021840170026,0.42758244276046753,3349.0,9,,,,,,,,,
0.01,3399,,,,,,,,,,,,,,
,3399,0.005248175468295813,2.7848262106999755e-05,0.005248175468295813,3399.0,9,,,,,,,,,
0.01,3449,,,,,,,,,,,,,,
,3449,0.06299411505460739,0.00022048252867534757,0.06299411505460739,3449.0,9,,,,,,,,,
0.01,3499,,,,,,,,,,,,,,
,3499,0.03630694001913071,0.0001362851617159322,0.03630694001913071,3499.0,9,,,,,,,,,
,3499,,,,,9,0.07748179882764816,0.0003011825028806925,0.07748179882764816,0.23987261950969696,0.0012577645247802138,0.23987261950969696,,,
,3499,,,,,9,,,,,,,0.1621679961681366,0.0032686886843293905,0.1621679961681366
0.01,3549,,,,,,,,,,,,,,
,3549,0.2670106887817383,0.0010509542189538479,0.2670106887817383,3549.0,10,,,,,,,,,
0.01,3599,,,,,,,,,,,,,,
,3599,0.33544647693634033,0.0016882072668522596,0.33544647693634033,3599.0,10,,,,,,,,,
0.01,3649,,,,,,,,,,,,,,
,3649,0.08590894937515259,0.00029257431742735207,0.08590894937515259,3649.0,10,,,,,,,,,
0.01,3699,,,,,,,,,,,,,,
,3699,0.2068023532629013,0.0007637039525434375,0.2068023532629013,3699.0,10,,,,,,,,,
0.01,3749,,,,,,,,,,,,,,
