lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2849,0.3116433322429657,0.0038993884809315205,0.3116433322429657,2849.0,4,,,,,,,,,
0.01,2899,,,,,,,,,,,,,,
,2899,0.059130340814590454,0.00021547777578234673,0.059130340814590454,2899.0,4,,,,,,,,,
0.01,2949,,,,,,,,,,,,,,
,2949,0.07159004360437393,0.00024385738652199507,0.07159004360437393,2949.0,4,,,,,,,,,
0.01,2999,,,,,,,,,,,,,,
,2999,0.05133397877216339,0.00018313263717573136,0.05133397877216339,2999.0,4,,,,,,,,,
,2999,,,,,4,0.1548558622598648,0.014981917105615139,0.1548558622598648,0.05950373038649559,0.00021056040714029223,0.05950373038649559,,,
,2999,,,,,4,,,,,,,0.12387338280677795,0.002575032413005829,0.12387338280677795
0.01,3049,,,,,,,,,,,,,,
,3049,0.18721704185009003,0.0008505073492415249,0.18721704185009003,3049.0,5,,,,,,,,,
0.01,3099,,,,,,,,,,,,,,
,3099,0.09556110948324203,0.00042490041232667863,0.09556110948324203,3099.0,5,,,,,,,,,
0.01,3149,,,,,,,,,,,,,,
,3149,0.19012267887592316,0.0006934044067747891,0.19012267887592316,3149.0,5,,,,,,,,,
0.01,3199,,,,,,,,,,,,,,
,3199,0.11670602113008499,0.0005151957157067955,0.11670602113008499,3199.0,5,,,,,,,,,
0.01,3249,,,,,,,,,,,,,,
,3249,0.1161336600780487,0.00038696505362167954,0.1161336600780487,3249.0,5,,,,,,,,,
0.01,3299,,,,,,,,,,,,,,
,3299,0.07645303010940552,0.0002604208420962095,0.07645303010940552,3299.0,5,,,,,,,,,
0.01,3349,,,,,,,,,,,,,,
,3349,0.05827713385224342,0.00021175629808567464,0.05827713385224342,3349.0,5,,,,,,,,,
0.01,3399,,,,,,,,,,,,,,
,3399,0.05897149816155434,0.00020293427223805338,0.05897149816155434,3399.0,5,,,,,,,,,
0.01,3449,,,,,,,,,,,,,,
,3449,0.04397939145565033,0.00015928839275147766,0.04397939145565033,3449.0,5,,,,,,,,,
0.01,3499,,,,,,,,,,,,,,
,3499,0.011952271685004234,5.481900370796211e-05,0.011952271685004234,3499.0,5,,,,,,,,,
0.01,3549,,,,,,,,,,,,,,
,3549,0.37460610270500183,0.02028597891330719,0.37460610270500183,3549.0,5,,,,,,,,,
0.01,3599,,,,,,,,,,,,,,
,3599,0.1511794924736023,0.000619236147031188,0.1511794924736023,3599.0,5,,,,,,,,,
,3599,,,,,5,0.06352077424526215,0.00022609975712839514,0.06352077424526215,0.20950768887996674,0.003926565404981375,0.20950768887996674,,,
,3599,,,,,5,,,,,,,0.12156149744987488,0.002132715890184045,0.12156149744987488
0.01,3649,,,,,,,,,,,,,,
,3649,0.03101639449596405,0.00012444957974366844,0.03101639449596405,3649.0,6,,,,,,,,,
0.01,3699,,,,,,,,,,,,,,
,3699,0.01268705353140831,5.6450910051353276e-05,0.01268705353140831,3699.0,6,,,,,,,,,
0.01,3749,,,,,,,,,,,,,,
,3749,0.08901819586753845,0.00030517374398186803,0.08901819586753845,3749.0,6,,,,,,,,,
0.01,3799,,,,,,,,,,,,,,
,3799,0.015550265088677406,6.787232996430248e-05,0.015550265088677406,3799.0,6,,,,,,,,,
0.01,3849,,,,,,,,,,,,,,
,3849,0.17128795385360718,0.0009723703260533512,0.17128795385360718,3849.0,6,,,,,,,,,
0.01,3899,,,,,,,,,,,,,,
